Function ;    Avg MB/s; Avg time; Best MB/s; Min time; Worst MB/s; Max time
Copy    ;       1516.7;    0.000427;       1516.7;    0.000427;       1516.7;    0.000427
Copy ASM;        849.3;    0.000763;        849.3;    0.000763;        849.3;    0.000763
Copy MVE;       1633.4;    0.000397;       1633.4;    0.000397;       1633.4;    0.000397
Scale   ;       1516.7;    0.000427;       1516.7;    0.000427;       1516.7;    0.000427
Scale ASM;        366.1;    0.001770;        366.1;    0.001770;        366.1;    0.001770
Scale MVE;       1516.7;    0.000427;       1516.7;    0.000427;       1516.7;    0.000427
Add     ;       1873.6;    0.000519;       1873.6;    0.000519;       1873.6;    0.000519
Add ASM ;        408.3;    0.002380;        408.3;    0.002380;        408.3;    0.002380
Add MVE ;       1873.6;    0.000519;       1873.6;    0.000519;       1873.6;    0.000519
Triad   ;       1873.6;    0.000519;       1873.6;    0.000519;       1873.6;    0.000519
Triad ASM;        374.7;    0.002594;        374.7;    0.002594;        374.7;    0.002594
Triad MVE;       1990.7;    0.000488;       1990.7;    0.000488;       1990.7;    0.000488