Test;Size;Time (Âµs);GB/s
Read Throughput SRAM 0;512;537462;2.976954
Scalar Read Throughput SRAM 0;512;1041701;1.535949
Read Throughput;512;537456;2.976988
Scalar Read Throughput;512;1041722;1.535918
Write Throughput SRAM 0;512;900800;1.776199
Scalar Write Throughput SRAM 0;512;1041722;1.535918
Write Throughput;512;537545;2.976495
Scalar Write Throughput;512;1041724;1.535915
Read Throughput SRAM 0;536;535795;2.986217
Scalar Read Throughput SRAM 0;536;1039884;1.538633
Read Throughput;536;535794;2.986223
Scalar Read Throughput;536;1039882;1.538636
Write Throughput SRAM 0;536;899829;1.778116
Scalar Write Throughput SRAM 0;536;1039882;1.538636
Write Throughput;536;535884;2.985721
Scalar Write Throughput;536;1039883;1.538635
Read Throughput SRAM 0;564;534033;2.996070
Scalar Read Throughput SRAM 0;564;1037936;1.541521
Read Throughput;564;534032;2.996075
Scalar Read Throughput;564;1037939;1.541516
Write Throughput SRAM 0;564;901450;1.774918
Scalar Write Throughput SRAM 0;564;1037936;1.541521
Write Throughput;564;534122;2.995570
Scalar Write Throughput;564;1037937;1.541519
Read Throughput SRAM 0;592;532440;3.005033
Scalar Read Throughput SRAM 0;592;1036175;1.544141
Read Throughput;592;532440;3.005033
Scalar Read Throughput;592;1036176;1.544139
Write Throughput SRAM 0;592;897889;1.781957
Scalar Write Throughput SRAM 0;592;1036175;1.544141
Write Throughput;592;532531;3.004520
Scalar Write Throughput;592;1036175;1.544141
Read Throughput SRAM 0;620;530992;3.013228
Scalar Read Throughput SRAM 0;620;1034573;1.546532
Read Throughput;620;530990;3.013239
Scalar Read Throughput;620;1034574;1.546530
Write Throughput SRAM 0;620;899444;1.778877
Scalar Write Throughput SRAM 0;620;1034573;1.546532
Write Throughput;620;531085;3.012701
Scalar Write Throughput;620;1034573;1.546532
Read Throughput SRAM 0;652;529485;3.021804
Scalar Read Throughput SRAM 0;652;1032907;1.549026
Read Throughput;652;529484;3.021810
Scalar Read Throughput;652;1032909;1.549023
Write Throughput SRAM 0;652;898454;1.780837
Scalar Write Throughput SRAM 0;652;1032909;1.549023
Write Throughput;652;529575;3.021291
Scalar Write Throughput;652;1032909;1.549023
Read Throughput SRAM 0;684;528121;3.029609
Scalar Read Throughput SRAM 0;684;1031402;1.551287
Read Throughput;684;528122;3.029603
Scalar Read Throughput;684;1031404;1.551283
Write Throughput SRAM 0;684;897559;1.782613
Scalar Write Throughput SRAM 0;684;1031402;1.551287
Write Throughput;684;528211;3.029093
Scalar Write Throughput;684;1031404;1.551283
Read Throughput SRAM 0;716;526879;3.036750
Scalar Read Throughput SRAM 0;716;1030030;1.553353
Read Throughput;716;526879;3.036750
Scalar Read Throughput;716;1030030;1.553353
Write Throughput SRAM 0;716;896745;1.784231
Scalar Write Throughput SRAM 0;716;1030030;1.553353
Write Throughput;716;526969;3.036232
Scalar Write Throughput;716;1030031;1.553351
Read Throughput SRAM 0;752;525611;3.044076
Scalar Read Throughput SRAM 0;752;1028624;1.555476
Read Throughput;752;525611;3.044076
Scalar Read Throughput;752;1028624;1.555476
Write Throughput SRAM 0;752;893908;1.789893
Scalar Write Throughput SRAM 0;752;1028623;1.555478
Write Throughput;752;525710;3.043503
Scalar Write Throughput;752;1028625;1.555475
Read Throughput SRAM 0;788;524456;3.050780
Scalar Read Throughput SRAM 0;788;1027349;1.557407
Read Throughput;788;524455;3.050786
Scalar Read Throughput;788;1027350;1.557405
Write Throughput SRAM 0;788;895152;1.787406
Scalar Write Throughput SRAM 0;788;1027349;1.557407
Write Throughput;788;524549;3.050239
Scalar Write Throughput;788;1027350;1.557405
Read Throughput SRAM 0;828;523290;3.057578
Scalar Read Throughput SRAM 0;828;1026060;1.559363
Read Throughput;828;523290;3.057578
Scalar Read Throughput;828;1026060;1.559363
Write Throughput SRAM 0;828;894375;1.788959
Scalar Write Throughput SRAM 0;828;1026059;1.559365
Write Throughput;828;523384;3.057029
Scalar Write Throughput;828;1026060;1.559363
Read Throughput SRAM 0;868;522232;3.063772
Scalar Read Throughput SRAM 0;868;1024891;1.561142
Read Throughput;868;522232;3.063772
Scalar Read Throughput;868;1024891;1.561142
Write Throughput SRAM 0;868;893669;1.790372
Scalar Write Throughput SRAM 0;868;1024891;1.561142
Write Throughput;868;522324;3.063233
Scalar Write Throughput;868;1024891;1.561142
Read Throughput SRAM 0;912;521176;3.069980
Scalar Read Throughput SRAM 0;912;1023723;1.562923
Read Throughput;912;521177;3.069974
Scalar Read Throughput;912;1023723;1.562923
Write Throughput SRAM 0;912;891341;1.795048
Scalar Write Throughput SRAM 0;912;1023723;1.562923
Write Throughput;912;521268;3.069438
Scalar Write Throughput;912;1023722;1.562924
Read Throughput SRAM 0;956;520217;3.075640
Scalar Read Throughput SRAM 0;956;1022663;1.564543
Read Throughput;956;520216;3.075645
Scalar Read Throughput;956;1022664;1.564541
Write Throughput SRAM 0;956;892352;1.793014
Scalar Write Throughput SRAM 0;956;1022663;1.564543
Write Throughput;956;520310;3.075090
Scalar Write Throughput;956;1022664;1.564541
Read Throughput SRAM 0;1004;519266;3.081273
Scalar Read Throughput SRAM 0;1004;1021611;1.566154
Read Throughput;1004;519267;3.081266
Scalar Read Throughput;1004;1021612;1.566152
Write Throughput SRAM 0;1004;891723;1.794279
Scalar Write Throughput SRAM 0;1004;1021611;1.566154
Write Throughput;1004;519360;3.080715
Scalar Write Throughput;1004;1021612;1.566152
Read Throughput SRAM 0;1052;518403;3.086402
Scalar Read Throughput SRAM 0;1052;1020657;1.567618
Read Throughput;1052;518403;3.086402
Scalar Read Throughput;1052;1020658;1.567616
Write Throughput SRAM 0;1052;891151;1.795431
Scalar Write Throughput SRAM 0;1052;1020657;1.567618
Write Throughput;1052;518502;3.085813
Scalar Write Throughput;1052;1020658;1.567616
Read Throughput SRAM 0;1104;517551;3.091483
Scalar Read Throughput SRAM 0;1104;1019715;1.569066
Read Throughput;1104;517550;3.091489
Scalar Read Throughput;1104;1019715;1.569066
Write Throughput SRAM 0;1104;889247;1.799275
Scalar Write Throughput SRAM 0;1104;1019715;1.569066
Write Throughput;1104;517646;3.090915
Scalar Write Throughput;1104;1019715;1.569066
Read Throughput SRAM 0;1160;516720;3.096455
Scalar Read Throughput SRAM 0;1160;1018797;1.570480
Read Throughput;1160;516720;3.096455
Scalar Read Throughput;1160;1018797;1.570480
Write Throughput SRAM 0;1160;888751;1.800279
Scalar Write Throughput SRAM 0;1160;1018797;1.570480
Write Throughput;1160;516815;3.095885
Scalar Write Throughput;1160;1018798;1.570478
Read Throughput SRAM 0;1216;515966;3.100979
Scalar Read Throughput SRAM 0;1216;1017963;1.571766
Read Throughput;1216;515966;3.100979
Scalar Read Throughput;1216;1017963;1.571766
Write Throughput SRAM 0;1216;888314;1.801165
Scalar Write Throughput SRAM 0;1216;1017963;1.571766
Write Throughput;1216;516060;3.100415
Scalar Write Throughput;1216;1017963;1.571766
Read Throughput SRAM 0;1276;515231;3.105403
Scalar Read Throughput SRAM 0;1276;1017150;1.573023
Read Throughput;1276;515231;3.105403
Scalar Read Throughput;1276;1017150;1.573023
Write Throughput SRAM 0;1276;889059;1.799656
Scalar Write Throughput SRAM 0;1276;1017150;1.573023
Write Throughput;1276;515329;3.104813
Scalar Write Throughput;1276;1017150;1.573023
Read Throughput SRAM 0;1340;514519;3.109700
Scalar Read Throughput SRAM 0;1340;1016363;1.574241
Read Throughput;1340;514519;3.109700
Scalar Read Throughput;1340;1016366;1.574236
Write Throughput SRAM 0;1340;888589;1.800607
Scalar Write Throughput SRAM 0;1340;1016363;1.574241
Write Throughput;1340;514615;3.109120
Scalar Write Throughput;1340;1016364;1.574239
Read Throughput SRAM 0;1408;513833;3.113852
Scalar Read Throughput SRAM 0;1408;1015605;1.575416
Read Throughput;1408;513833;3.113852
Scalar Read Throughput;1408;1015605;1.575416
Write Throughput SRAM 0;1408;887071;1.803689
Scalar Write Throughput SRAM 0;1408;1015605;1.575416
Write Throughput;1408;513930;3.113265
Scalar Write Throughput;1408;1015605;1.575416
Read Throughput SRAM 0;1476;513212;3.117620
Scalar Read Throughput SRAM 0;1476;1014917;1.576484
Read Throughput;1476;513212;3.117620
Scalar Read Throughput;1476;1014918;1.576482
Write Throughput SRAM 0;1476;887730;1.802350
Scalar Write Throughput SRAM 0;1476;1014918;1.576482
Write Throughput;1476;513308;3.117037
Scalar Write Throughput;1476;1014918;1.576482
Read Throughput SRAM 0;1548;512613;3.121263
Scalar Read Throughput SRAM 0;1548;1014255;1.577513
Read Throughput;1548;512613;3.121263
Scalar Read Throughput;1548;1014255;1.577513
Write Throughput SRAM 0;1548;887331;1.803160
Scalar Write Throughput SRAM 0;1548;1014254;1.577514
Write Throughput;1548;512708;3.120685
Scalar Write Throughput;1548;1014255;1.577513
Read Throughput SRAM 0;1624;512040;3.124756
Scalar Read Throughput SRAM 0;1624;1013621;1.578499
Read Throughput;1624;512038;3.124768
Scalar Read Throughput;1624;1013622;1.578498
Write Throughput SRAM 0;1624;886024;1.805820
Scalar Write Throughput SRAM 0;1624;1013621;1.578499
Write Throughput;1624;512135;3.124176
Scalar Write Throughput;1624;1013622;1.578498
Read Throughput SRAM 0;1704;511488;3.128128
Scalar Read Throughput SRAM 0;1704;1013012;1.579448
Read Throughput;1704;511489;3.128122
Scalar Read Throughput;1704;1013012;1.579448
Write Throughput SRAM 0;1704;885703;1.806475
Scalar Write Throughput SRAM 0;1704;1013011;1.579450
Write Throughput;1704;511585;3.127535
Scalar Write Throughput;1704;1013013;1.579447
Read Throughput SRAM 0;1788;510965;3.131330
Scalar Read Throughput SRAM 0;1788;1012432;1.580353
Read Throughput;1788;510965;3.131330
Scalar Read Throughput;1788;1012432;1.580353
Write Throughput SRAM 0;1788;886236;1.805388
Scalar Write Throughput SRAM 0;1788;1012433;1.580351
Write Throughput;1788;511059;3.130754
Scalar Write Throughput;1788;1012433;1.580351
Read Throughput SRAM 0;1876;510466;3.134391
Scalar Read Throughput SRAM 0;1876;1011881;1.581214
Read Throughput;1876;510466;3.134391
Scalar Read Throughput;1876;1011882;1.581212
Write Throughput SRAM 0;1876;885915;1.806042
Scalar Write Throughput SRAM 0;1876;1011882;1.581212
Write Throughput;1876;510564;3.133789
Scalar Write Throughput;1876;1011882;1.581212
Read Throughput SRAM 0;1972;509972;3.137427
Scalar Read Throughput SRAM 0;1972;1011335;1.582067
Read Throughput;1972;509972;3.137427
Scalar Read Throughput;1972;1011335;1.582067
Write Throughput SRAM 0;1972;885592;1.806701
Scalar Write Throughput SRAM 0;1972;1011336;1.582066
Write Throughput;1972;510068;3.136837
Scalar Write Throughput;1972;1011337;1.582064
Read Throughput SRAM 0;2068;509526;3.140173
Scalar Read Throughput SRAM 0;2068;1010841;1.582840
Read Throughput;2068;509525;3.140180
Scalar Read Throughput;2068;1010841;1.582840
Write Throughput SRAM 0;2068;885305;1.807287
Scalar Write Throughput SRAM 0;2068;1010841;1.582840
Write Throughput;2068;509623;3.139576
Scalar Write Throughput;2068;1010841;1.582840
Read Throughput SRAM 0;2168;509101;3.142795
Scalar Read Throughput SRAM 0;2168;1010370;1.583578
Read Throughput;2168;509100;3.142801
Scalar Read Throughput;2168;1010372;1.583575
Write Throughput SRAM 0;2168;884325;1.809290
Scalar Write Throughput SRAM 0;2168;1010371;1.583577
Write Throughput;2168;509197;3.142202
Scalar Write Throughput;2168;1010371;1.583577
Read Throughput SRAM 0;2276;508684;3.145371
Scalar Read Throughput SRAM 0;2276;1009910;1.584300
Read Throughput;2276;508684;3.145371
Scalar Read Throughput;2276;1009910;1.584300
Write Throughput SRAM 0;2276;884755;1.808410
Scalar Write Throughput SRAM 0;2276;1009910;1.584300
Write Throughput;2276;508781;3.144772
Scalar Write Throughput;2276;1009910;1.584300
Read Throughput SRAM 0;2388;508294;3.147784
Scalar Read Throughput SRAM 0;2388;1009480;1.584974
Read Throughput;2388;508295;3.147778
Scalar Read Throughput;2388;1009481;1.584973
Write Throughput SRAM 0;2388;884487;1.808958
Scalar Write Throughput SRAM 0;2388;1009481;1.584973
Write Throughput;2388;508393;3.147172
Scalar Write Throughput;2388;1009481;1.584973
Read Throughput SRAM 0;2508;507912;3.150152
Scalar Read Throughput SRAM 0;2508;1009057;1.585639
Read Throughput;2508;507912;3.150152
Scalar Read Throughput;2508;1009058;1.585637
Write Throughput SRAM 0;2508;884233;1.809478
Scalar Write Throughput SRAM 0;2508;1009057;1.585639
Write Throughput;2508;508009;3.149550
Scalar Write Throughput;2508;1009059;1.585636
Read Throughput SRAM 0;2632;507555;3.152368
Scalar Read Throughput SRAM 0;2632;1008662;1.586260
Read Throughput;2632;507555;3.152368
Scalar Read Throughput;2632;1008662;1.586260
Write Throughput SRAM 0;2632;883427;1.811129
Scalar Write Throughput SRAM 0;2632;1008662;1.586260
Write Throughput;2632;507653;3.151759
Scalar Write Throughput;2632;1008663;1.586258
Read Throughput SRAM 0;2760;507221;3.154444
Scalar Read Throughput SRAM 0;2760;1008294;1.586839
Read Throughput;2760;507220;3.154450
Scalar Read Throughput;2760;1008292;1.586842
Write Throughput SRAM 0;2760;883238;1.811516
Scalar Write Throughput SRAM 0;2760;1008293;1.586840
Write Throughput;2760;507319;3.153834
Scalar Write Throughput;2760;1008292;1.586842
Read Throughput SRAM 0;2896;506896;3.156466
Scalar Read Throughput SRAM 0;2896;1007934;1.587405
Read Throughput;2896;506896;3.156466
Scalar Read Throughput;2896;1007934;1.587405
Write Throughput SRAM 0;2896;883061;1.811879
Scalar Write Throughput SRAM 0;2896;1007934;1.587405
Write Throughput;2896;506994;3.155856
Scalar Write Throughput;2896;1007936;1.587402
Read Throughput SRAM 0;3040;506589;3.158379
Scalar Read Throughput SRAM 0;3040;1007586;1.587954
Read Throughput;3040;506583;3.158416
Scalar Read Throughput;3040;1007586;1.587954
Write Throughput SRAM 0;3040;882866;1.812280
Scalar Write Throughput SRAM 0;3040;1007585;1.587955
Write Throughput;3040;506682;3.157799
Scalar Write Throughput;3040;1007589;1.587949
Read Throughput SRAM 0;3188;506295;3.160213
Scalar Read Throughput SRAM 0;3188;1007268;1.588455
Read Throughput;3188;506294;3.160219
Scalar Read Throughput;3188;1007269;1.588454
Write Throughput SRAM 0;3188;883153;1.811691
Scalar Write Throughput SRAM 0;3188;1007269;1.588454
Write Throughput;3188;506392;3.159608
Scalar Write Throughput;3188;1007269;1.588454
Read Throughput SRAM 0;3348;506010;3.161993
Scalar Read Throughput SRAM 0;3348;1006954;1.588951
Read Throughput;3348;506011;3.161987
Scalar Read Throughput;3348;1006955;1.588949
Write Throughput SRAM 0;3348;882969;1.812068
Scalar Write Throughput SRAM 0;3348;1006955;1.588949
Write Throughput;3348;506109;3.161374
Scalar Write Throughput;3348;1006955;1.588949
Read Throughput SRAM 0;3512;505746;3.163644
Scalar Read Throughput SRAM 0;3512;1006662;1.589411
Read Throughput;3512;505746;3.163644
Scalar Read Throughput;3512;1006662;1.589411
Write Throughput SRAM 0;3512;882390;1.813257
Scalar Write Throughput SRAM 0;3512;1006661;1.589413
Write Throughput;3512;505844;3.163030
Scalar Write Throughput;3512;1006662;1.589411
Read Throughput SRAM 0;3684;505492;3.165233
Scalar Read Throughput SRAM 0;3684;1006378;1.589860
Read Throughput;3684;505491;3.165239
Scalar Read Throughput;3684;1006379;1.589858
Write Throughput SRAM 0;3684;882631;1.812762
Scalar Write Throughput SRAM 0;3684;1006378;1.589860
Write Throughput;3684;505589;3.164626
Scalar Write Throughput;3684;1006378;1.589860
Read Throughput SRAM 0;3864;505250;3.166749
Scalar Read Throughput SRAM 0;3864;1006112;1.590280
Read Throughput;3864;505250;3.166749
Scalar Read Throughput;3864;1006112;1.590280
Write Throughput SRAM 0;3864;882098;1.813857
Scalar Write Throughput SRAM 0;3864;1006112;1.590280
Write Throughput;3864;505348;3.166135
Scalar Write Throughput;3864;1006112;1.590280
Read Throughput SRAM 0;4056;505019;3.168198
Scalar Read Throughput SRAM 0;4056;1005856;1.590685
Read Throughput;4056;505018;3.168204
Scalar Read Throughput;4056;1005857;1.590683
Write Throughput SRAM 0;4056;881958;1.814145
Scalar Write Throughput SRAM 0;4056;1005856;1.590685
Write Throughput;4056;505117;3.167583
Scalar Write Throughput;4056;1005857;1.590683
Read Throughput SRAM 0;4256;504794;3.169610
Scalar Read Throughput SRAM 0;4256;1005606;1.591080
Read Throughput;4256;504795;3.169603
Scalar Read Throughput;4256;1005606;1.591080
Write Throughput SRAM 0;4256;881829;1.814411
Scalar Write Throughput SRAM 0;4256;1005605;1.591082
Write Throughput;4256;504892;3.168995
Scalar Write Throughput;4256;1005606;1.591080
Read Throughput SRAM 0;4468;504584;3.170929
Scalar Read Throughput SRAM 0;4468;1005375;1.591446
Read Throughput;4468;504585;3.170923
Scalar Read Throughput;4468;1005375;1.591446
Write Throughput SRAM 0;4468;882029;1.813999
Scalar Write Throughput SRAM 0;4468;1005375;1.591446
Write Throughput;4468;504684;3.170301
Scalar Write Throughput;4468;1005376;1.591444
Read Throughput SRAM 0;4688;504386;3.172174
Scalar Read Throughput SRAM 0;4688;1005157;1.591791
Read Throughput;4688;504387;3.172167
Scalar Read Throughput;4688;1005158;1.591789
Write Throughput SRAM 0;4688;881607;1.814868
Scalar Write Throughput SRAM 0;4688;1005158;1.591789
Write Throughput;4688;504485;3.171551
Scalar Write Throughput;4688;1005157;1.591791
Read Throughput SRAM 0;4916;504193;3.173388
Scalar Read Throughput SRAM 0;4916;1004939;1.592136
Read Throughput;4916;504193;3.173388
Scalar Read Throughput;4916;1004940;1.592135
Write Throughput SRAM 0;4916;881775;1.814522
Scalar Write Throughput SRAM 0;4916;1004940;1.592135
Write Throughput;4916;504291;3.172771
Scalar Write Throughput;4916;1004939;1.592136
Read Throughput SRAM 0;5160;504016;3.174502
Scalar Read Throughput SRAM 0;5160;1004744;1.592445
Read Throughput;5160;504014;3.174515
Scalar Read Throughput;5160;1004745;1.592444
Write Throughput SRAM 0;5160;881384;1.815327
Scalar Write Throughput SRAM 0;5160;1004744;1.592445
Write Throughput;5160;504112;3.173898
Scalar Write Throughput;5160;1004744;1.592445
Read Throughput SRAM 0;5416;503842;3.175599
Scalar Read Throughput SRAM 0;5416;1004553;1.592748
Read Throughput;5416;503843;3.175592
Scalar Read Throughput;5416;1004559;1.592739
Write Throughput SRAM 0;5416;881285;1.815531
Scalar Write Throughput SRAM 0;5416;1004550;1.592753
Write Throughput;5416;503938;3.174994
Scalar Write Throughput;5416;1004551;1.592751
Read Throughput SRAM 0;5160;504016;3.174502
Scalar Read Throughput SRAM 0;5160;1004721;1.592482
Read Throughput;5160;504013;3.174521
Scalar Read Throughput;5160;1004742;1.592449
Write Throughput SRAM 0;5160;881369;1.815358
Scalar Write Throughput SRAM 0;5160;1004742;1.592449
Write Throughput;5160;504112;3.173898
Scalar Write Throughput;5160;1004743;1.592447
Read Throughput SRAM 0;5416;503843;3.175592
Scalar Read Throughput SRAM 0;5416;1004550;1.592753
Read Throughput;5416;503840;3.175611
Scalar Read Throughput;5416;1004551;1.592751
